Title,Description
Senior Python Developer,"<b>About the project</b><br><br>Artificial intelligence is the steam engine of the fourth industrial revolution with a significant impact on all our lives. However, modern AI algorithms are powerful but dangerous black boxes that can cause significant financial and physical harm. Apple’s credit card which has been investigated for discriminating against women, Microsoft’s chatbot that reportedly made racist tweets, or Tesla’s autopilot which was reported to cause crashes are just examples of recent AI incidents. Making algorithmic decision-making transparent and accountable is, therefore, a fundamental prerequisite for future-proof organizations.<br><br>Our international team of machine learning researchers, engineers, and business minds has built AI systems for leading organizations and published at top-tier academic venues. <br><br>We enable society for a safe and self-determined co-existence with intelligent machines.<br><br><b>Your main responsibilities:</b><br>- Develop, document, and test backend software<br>- Contribute to architecture decisions and perform code reviews<br>- Create, review and optimize database operations in the applications<br>- Collaborate with other engineers, product manager, and UI/UX designer across the organization.<br>- Act as a technical advisor and think creatively of solutions to problems arising in practice<br><br><b>Your preferred qualifications:</b><br>- Proven 4+ years of experience as a Python Backend Engineer.<br>- Experience in working with backend frameworks, such as Django, Flask or FastAPI<br>- Experience in developing REST/GraphQL API’s<br>- Solid knowledge of relational databases (PostgreSQL) and NoSQL databases<br>- Experience in running code in the cloud (GCP/AWS) and containerizing applications using Docker<br>- Good knowledge of clean coding, test-driven development, and CI/CD principles<br>- Good communication skills in English, both spoken and written<br><br>- Bonus (any of):<br>- - Experience in software engineering of larger projects, preferably B2B or SaaS products.<br>- - Experience working in the domain of machine/deep learning or risks management<br>- - Experience with IaC(Terraform)"
Senior Python Developer,"IvorySoft is a people-first software engineering and IT consulting company. We provide complex technological solutions for startups and businesses from the USA, UK, Nordic countries, and Canada.<br><br>To meet our ambitious goals, we are looking for a Senior Python Developer to join the growing team that helps to create clean energy solar and storage solutions for all.<br><br>🎯ABOUT THE PROJECT:<br>The customer is a leading US-based company specializing in large-scale clean electrification solutions for commercial, industrial, public sector, and community solar customers. Their comprehensive services encompass every stage of the process. From inception to operation, the company handles the origination, development, ownership, and operation of solar generation, energy storage, and electric vehicle charging infrastructure at local sites throughout the country.<br>❗️The project is under NDA ❗️<br>(details will be provided during a final call with the customer's team)<br><br>RESPONSIBILITIES:<br>👨‍💻Design, develop, and maintain complex software solutions using Python.<br>👨‍💻Write clean, scalable, and maintainable code.<br>👨‍💻Collaborate with cross-functional teams to define, design, and ship new features.<br>👨‍💻Perform code reviews and ensure adherence to coding standards.<br>👨‍💻Stay up-to-date with the latest technology trends and best practices.<br><br>REQUIREMENTS:<br>💻 4+ of experience in Python development.<br>💻Strong knowledge of Python, Django, and other related technologies.<br>💻Experience with database design and management.<br>💻Excellent problem-solving and analytical skills.<br>💻Strong communication skills and the ability to work in a team environment.<br>💻 Experience with github/ github Actions; Graphql; Cloudformation; AWS Lambda; AWS Cognito.<br>💻Experience with Agile methodologies is a plus."
Senior Back-end Engineer,"About the project:<br>The Energy Management Software is a cutting-edge solution that integrates electric vehicle chargers, solar panels, and battery storage, providing a streamlined approach to energy management for building and fleet managers. This innovative software optimizes energy utilization, decreases reliance on the grid, and ensures adherence to net-zero regulations. It's a versatile system suitable for various energy assets in both commercial and residential buildings, such as batteries, photovoltaic inverters, EV chargers, and power meters. Its primary function is to enhance energy consumption efficiency, making it a valuable addition to the future of energy management.<br><br>Talent you’ll bring into our team:<br>• At least 4 years of experience with Python<br>• Proficiency in Docker and Kubernetes<br>• Knowledge of Redis Streams, Kafka, or RabbitMQ<br>• Experience in working with relational databases (e.g., SQL, PostgreSQL)<br><br>Nice to have experience with:<br>• Golang<br>• Microsoft Azure IoT Hub, IoT Edge<br>• Time series databases/extensions<br><br>Your responsibilities:<br>• Develop and maintain the IoT backbone component of the solution<br>• Handle side-services related to alarms and notifications<br>• Manage user and role-related services<br>• Oversee data ingestion processes<br>• Maintain and enhance APIs for the solution<br><br>What we offer:<br>Professional Growth opportunities:<br>• Ambitious goals and interesting projects<br>• We have one of the most competitive software development academy in Ukraine — Binary Studio Academy. In 2022, it became international and attracted more than 10,000 applicants. It's a free online initiative that offers intensive training to participants. As a member of our team, you'll have the opportunity to enroll as a coach or lecturer in the academy and hone your leadership and project management skills!<br>• Regular & transparent performance and salary review based on results of work<br>• Mentorship and Personal Development Plans for everyone in the company by request<br>• Regular educational events from our internal experts (you can be one of them)<br>• Possibility for both vertical or horizontal growth<br><br>Benefits program:<br>• Paid vacation, paid sick leaves, 10 Public holidays, additional days off<br>• Educational budget and support in receiving certificates/attending conferences, etc.<br>• Accounting support<br>• English lessons<br><br>Comfortable Working conditions:<br>• Flexible working hours<br>• Amortization program or provision of required equipment<br>• Hybrid working model (remote or from a cozy office in Kyiv or Lviv)<br>• Gaming room with table tennis and board games<br><br>Community:<br>• Various corporate events (psychological training, based on employees’ needs to care about mental health, New Year celebration, team buildings, etc)<br>• Celebration of important personal and project milestones (project successes, B-days, anniversaries, marriage, childbirth)<br>• Support of team members during russian aggression (evacuation, safe accommodation in Western Ukraine, financial support for those who joined Armed Forces, donations, etc.)"
Python Tech Lead,"<b>Let’s start with what PLANEKS offer:</b><br>0. Fast and comfortable hiring process.<br>1. 100% remote work opportunity and flexitime - choose working hours between 8:00-20:00.<br>2. Manage your compensation $$$$ budget - Travel tickets, Work equipment, Health insurance, Software, Sport, Training.<br>3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings.<br>4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends.<br>5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we're proud of how we handle that. So you can always count on us.<br>6. Speaking clubs with a native speaker to constantly maintain your English level.<br>7. No bureaucracy - transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.<br><br>We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it!<br><br><b>This position supposes that you have the following knowledge and competencies:</b><br>- 5+ years of commercial software engineering experience using Python for Web.<br>- Strong soft skills including leadership - ability to hire, develop, inspire, motivate, train and manage the team to meet high goals.<br>- Knowledge of Python frameworks/CMSs.<br>- Knowledge of SQL and NoSQL databases.<br>- Knowledge of designing and writing APIs or RESTful endpoints.<br>- Multi-threading, asynchronous and microservice software development experience.<br>- Understanding of network principles (TCP / IP, DNS, HTTP, SSL).<br>- Knowledge of message streams and brokers RabbitMQ, Kafka, etc.<br>- Strong expertise in software design, development and development management<br>- Knowledge OOP, Architecture Patterns and Best Practices for tech solutions.<br>- Excellent English communication skills (both verbal and written).<br><br><b>Will be a plus:</b><br>- Knowledge of another programming language except for Python.<br>- Strong understanding of CI/CD process and cloud platforms.<br>- Experience with Machine Learning or Artificial Intelligence.<br>- Business-oriented approach.<br><br><b>Responsibilities:</b><br>- Being on the edge of technology, management, and business.<br>- Working with the founders on directions and goals for the development team.<br>- Technical mentoring and coaching of developers.<br>- Being a part of recruitment processes.<br>- Integrate the newest technologies and approaches which will be used by other developers in the company.<br>- Constantly adding value to the experience of our customers<br>… and coding!"
Backend Developer for a fast growing Fintech,"FINN is a fintech company in stealth mode founded in 2022 by experienced serial founders.  We are a fast growing distributed fintech startup based in Singapore and we’re looking for a talented backend developer to join our team. We are looking for a developer to join our team. Please reach out if you are interested. <br><br>As part of this project, I need someone with expertise in development using the programming language of Python Typescript. Specifically, I'm looking for someone who is familiar with Docker, CI/CD pipelines, unit testing, services and message driven architecture. <br><br><b>About Us:</b><br>We have an experienced founding team with multiple successful ventures.<br>Flexible working hours and great developer focused team culture.<br><br><b>Requirements:</b><br>Strong fundamentals in Algorithms and Programming.<br>2 Years of experience in a backend development role.<br>Experience with creating and maintaining REST endpoints.<br>Experience with one or more of the following languages: Node (Typescript or Javascript), Java, C# or PHP.<br>Ability to work independently and constructively with others.<br>Attention to detail.<br>Ability to work a minimum of 30 hours per week.<br>Ability to communicate clearly in English.<br>Have a good internet connection, hardware available.<br><br><b>Pluses:</b><br>Experience in a Fintech or financial services related development organization.<br>Experience with banking API’s.<br>Experience with distributed systems.<br>Experience in deploying and maintaining CI/CD pipelines."
Senior Python Developer,"We are young, creative and brave specialists. Our only mission is to Keep IT Sweet and Simple (K.I.S.S.) for you. It is our philosophy and sole aim. We are striving to make the process of IT development for you as simple and clear as one, two, three.<br>Senior Python Developer<br> <br>Requirements:<br><br>•  Experience in software development for more than 3 years<br>•  Excellent knowledge and experience in Python (more than 3 years)<br>•  Excellent knowledge in Computer Science, Computing Theory<br>•  Practical commercial experience with RDBMS (e.g PostgreSQL, MySQL, etc.)<br>•  Experience with developing microservices based architecture<br>•  Ability to investigate new technological areas and understand them in depth through rapid self-learning<br>•  Ability to demonstrate strong analytical problem-solving skills to support scalable and sustainable design solutions<br><br>Desirable:<br><br>•  Experience working in container-based environments using tools such as, helm<br>•  Experience developing data-oriented products preferably using Python<br>•  Practical commercial experience with MongoDB<br>•  Good algorithm and data structure knowledge<br>•  Design and develop a scalable data processing and ML pipeline using the latest big data technologies in a fast paced agile environment<br>•  Experience in machine learning FWs such as SKLearn, Tensorflow<br>•  Experience with RedHat OpenShift<br>•  Dev Environment knowledge: GIT, Jenkins, Docker<br>•  Experience in data processing FW such as Spark, Pandas, Hadoop, Airflow<br><br>What we offer:<br><br>Continuous education with unlimited professional growth opportunities<br>Friendly team of co-workers from all around the world<br>Deep dive into Fintech and Blockchain industry<br>Remote work<br>Flexible work hours<br>Warm atmosphere<br>Про компанію KISS Software<br>IT development company<br>Trusted IT partner for a digital-first world<br><br>We are young, creative and brave specialists from Kyiv, Ukraine. Our only mission is to Keep IT Sweet and Simple (K.I.S.S.) for you. It is our philosophy and sole aim. We are striving to make the process of IT development for you as simple and clear as one, two, three.<br><br>Сайт компанії:<br>https://kiss.software"
Senior Python Backend Developer,"Drive-thru restaurants have employees multi-task by taking orders, packing food, taking payments, and more. This translates to long wait times and extremely high stress for employees. Currently, the restaurants are experiencing a major hiring crisis due to this extreme stress and increasing minimum wage.<br>Most quick-service restaurants had begun to search for a more elegant solution that improves customer experience, increases speed, accuracy, average ticket size, and reduces employee stress. <br>Our AI greets the customer, takes the order, and inserts it into the point of sale freeing up the employees to focus on other tasks.<br>Understanding an order in the drive-thru using voice is not an easy task and requires deep technology to get to the required high completion rate of orders. The challenges include a very noisy environment, unique speech patterns due to the customer's indecisiveness, different accents, gender, ages, speech from other people in the car, complex multi-turn unstructured conversation, low latency, and more. In order to solve big challenges, we are developing our own speech and natural language understanding tech from the ground up.<br><br>We are a group of experts in Speech, NLU, and Backend SW. We strongly believe in impact-driven employment where you can work from wherever you're most comfortable and effective. Because of the myriad of challenges and the fast pace, each team member gets to experience a lot of professional growth and ownership.<br><br>About the Role & Responsibilities:<br>- Our backend is developed all in Python running in the cloud over k8s.<br>- It's not a typical backend interacting with a UI frontend. It handles audio streams in real-time and runs our key AI algorithms.<br>- The role involves designing and implementing complex parts of the backend. This involves distributed architecture as well as concurrency while taking into consideration performance and scale.<br><br>Requirements<br>- Minimum 5 years of experience as non-web developer<br>- 5+ years experience in Python<br>- Experience in SW design and backend dev<br>- Developed and deployed multiple projects used in production<br>- Experience with Docker, Kubernetes, Microservices, CI/CD, Clouds (AWS/GCP/Azure)<br>- experience with async IO, threading, or concurrent programming<br>- deep control of Python 3 and its standard library.<br>- Lead experience - big advantage <br><br><br>Preferred Qualifications:<br>- Experience with real-time audio processing<br><br>Interview process:<br>- Intro call with HR (30 min)<br>- Live Coding Exercise ( 3 hours) <br>- Technical Interview (1.5 hours)<br><br>Join us to be a part of an amazing team with great vibes, a company with a lot of freedom of movement, interesting and unique challenges, and an opportunity to influence and build something big."
Python Developer (Scraping),"Looking for a <b>Python Developer (Scraping)</b> to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found the right place to send your <b>CV</b>. <br><br><b>Skills Requirements:</b><br>• 6+ months commercial experience with Python;<br>• Experience with Web scrapping/Data gathering/Cleaning and Visualization;<br>• Experience with Web automation;<br>• Experience with libraries/ frameworks: Beautifulsoup, selenium, lxml.<br>• Experience with SQL;<br><br><b>Key responsibilities:</b><br>• Develop scraping and parsing solutions;<br>• Develop API, ETL pipelines, other data integration services ;<br>• Collaborate with Project Managers to solve customer problems;<br>• Optimize applications regarding project requirements;<br>• Collaborate with team members, take part in meetings, brainstorms.<br><br><b>Optional skills (as a plus):</b><br>• Experience with NoSQL and in-memory DB;<br>• Experience with Pandas.<br>• Experience with Flask, Flask-RESTful<br>• Experience with linux, AWS, GCP;<br>• Experience with 2captcha, anticaptcha;<br>• Experience with pyautogui;<br>• Experience with virtualdisplay.<br><br><b>We offer:</b><br>• Great networking opportunities with international clients, challenging tasks;<br>• Building interesting projects from scratch using new technologies;<br>• Personal and professional development opportunities;<br>• Competitive salary nominated in USD;<br>• Paid vacation and sick leaves, medical insurance;<br>• Flexible work schedule;<br>• Friendly working environment with minimal hierarchy;<br>• Team building activities, corporate events."
Strong Junior Python Developer,"<b>Essential Duties and Responsibilities</b><br>• Design test programs for device characterization<br>• Monitor the data acquisition process<br>• Present test results in accurate and clear manner<br>• Analyze test data, perform root cause analysis of device failures, and define solutions<br>• Identify and resolve device performance issues promptly<br><br><b>Must possess/demonstrate the following:</b><br>• Strong analog and digital electronic engineering fundamentals<br>• Effectively wield the electronics tools: oscilloscopes, multimeters, signal generator, power<br>supplies<br>• Software development skills in Python<br>• Analytical and problem-solving skills.<br>• Able to manage time efficiently and complete tasks on schedule<br>• Good written and verbal communication skills<br><br><b>Recommended/Desired Skills:</b><br>• Experience in electrical circuits design and PCB layout<br>• Statistic data analysis<br>• Good soldering skills<br>• Prototyping skills"
Senior Software Engineer (Python),"🟢 Join Dev.Pro - a US-based outsourcing software development company that has been delivering exceptional software experience to clients since 2011.<br><br>We invite a talented Software Engineer with strong Python expertise to join our team and help us build an advanced artwork transaction database featuring 36M+ transaction records from auction houses worldwide that provides valuable insights to collectors, investors, and managers. Work with a global artwork tokenization and blockchain-secured provenance leader and contribute to innovative projects at the crossroads of the blockchain and art industries.<br><br>🟩 What's in it for you: <br><br>• Work on data management and data engineering projects linking the art market with the digital-first, financial ecosystem<br>• Boost your blockchain knowledge and expertise<br>• Participate in designing a brand-new business component from scratch<br><br>✅ Is that you?<br>• Design pattern knowledge and practical skills with industry-wide software development principles<br>• Deep Python expertise; experience with Django, Flask, or similar <br>• Strong cloud computing knowledge, particularly AWS and its EC2, RDS, S3, and Lambda services<br>• Practical experience with event-driven architectures and asynchronous data flows<br>• Familiarity with serverless technologies and containerization tools (Docker)<br>• Profound knowledge of relational databases (PostgreSQL or MariaDB) and RESTful APIs<br>• Skills with DevOps tools (Jenkins, GitHub Workflows)<br>• Agile methodology experience in dynamic environments<br><br>Desirable:<br>• Django REST or Celery experience<br>• Proficiency in authentication (OAuth, blockchain integrations)<br>• Frontend tech familiarity (TypeScript, React), bridging to backend <br>• Node.js knowledge; GraphQL or Elasticsearch skills<br>• Infrastructure as Code experience (AWS CDK)<br>• Blockchain tech understanding<br>• Familiarity with service architecture and distributed systems<br><br>🧩Key responsibilities and your contribution <br>In the role of a Senior Software Engineer, you will join the tight-knit team of high-level professionals and essentially contribute to the development of a new business component for the client’s solution.<br><br>• Design and implement scalable, cloud-native applications within our AWS ecosystem, including by leveraging serverless technologies such as AWS Lambda<br>• Maintain and improve the quality, efficiency, and security of the codebase by employing best practices (high test coverage and thorough code reviews)<br>• Manage code deployment processes, promoting strong continuous integration and deployment (CI/CD) practices<br><br>🎾 What's working at Dev.Pro like? <br>At Dev.Pro, we appreciate your contribution and the value you add to projects. We are a company with an ambitious and creative mindset whose corporate culture is based on respect for diversity and uniqueness, as well as enablement of equal opportunities for all. By joining Dev.Pro, you'll feel what it's like to grow with professionals who support your journey.<br><br>✅Get 30 paid rest days per year to use as holidays/vacation/other on the desired and requested dates<br>✅5 sick leave days, up to 60 days of medical leave, and up to 6 days of leave per year due to family reasons (i.e., wedding/funeral/baby birth)<br>✅Get a health insurance package fully compensated by Dev.Pro  <br>✅Join fun online activities and team-building events<br>✅Get continuous remote HR, payroll support, and overtime coverage <br>✅Join English/Polish/Portuguese lessons <br>✅Grow your expertise with mentorship support and DP University"
Middle  Software Developer,"Requirements:<br><br>-At least 3 years of programming experience with the Python language.<br>-3+ years in systems programming, which may include other languages (Rust, Go).<br>-Experience with  APIs.<br>-Debugging, profiling, and performance optimization skills.<br>-Secure coding practices.<br>-Care for the quality and readability of your code.<br><br>Nice to have:<br><br>- Worked in tandem with Quant Researchers will be a plus <br>-Experience with PyPy, mypy, FastAPI, PostgreSQL, Pyro5, streamlit, memprof, web3, graphql, memmap2, rayon, pyo3, actix-web, pprof-rs<br><br>Required activities and tasks:<br><br>- Design and development of a memory-efficient and fast tool for backtesting trading strategies on crypto exchanges<br>- Implementation of new features to test their impact on the profitability of existing automation trading bots<br>- Development of the trading bot logic based on the work of Quant Researchers<br>- Accompanying documentation on architecture, metrics, and project roadmaps"
Розробник Odoo,"Запрошуємо розробника Odoo приєднатися до нашої команди. <br><br>Вимоги:<br><br>-  Досвід розробки на Odoo від 2 років.<br>-  Знання Python, PostgreSQL та інших технологій, пов'язаних з Odoo.<br>-  Вміння працювати з різними модулями Odoo (Sales, CRM, Inventory, Finance тощо).<br><br><br>Що  потрібно  робити <br><br>-  Розробка та налагодження модулів та функціоналу в Odoo відповідно до потреб компанії.<br>-  Тестування, відлагодження та підтримка розроблених рішень.<br>-   Інтеграції Odoo з іншими системами, якщо це необхідно."
Python Developer,"<b>We are looking for Middle Python/Go Engineers to join a world-famous product. We are open to hiring specialists located in Poland. You will have the opportunity to work either remotely or in the office.</b><br><br>🌎 Akvelon is an American company with offices in Seattle, Mexico, Ukraine, Poland, the Czech Republic, and Serbia. Our company is an official vendor for Microsoft and Google. Our clients include Amazon, Evernote, Intel, HP, Reddit, Pinterest, AT&T, T-Mobile, Starbucks, and LinkedIn.<br><br><b>Project:</b><br>The product allows users to store everything in a single space, including regular files, data from the cloud, and web shortcuts.<br>Software engineers will support our ongoing initiatives related to team-owned content processing systems. They will work closely with platform and infrastructure engineers to facilitate the transition to the next-gen infrastructure and enhance system reliability.<br><br>To succeed in this software engineer position, you will need strong analytical and communication skills, along with expertise in system-level development.<br><br><b>Responsibilities:</b><br>🔸 Writing production-quality code for highly scalable distributed systems.<br>🔸 Exploring ways to improve system performance and reliability.<br>🔸 Developing analytical tools and programs, and creating dashboards.<br>🔸 Collaborating closely with infrastructure and platform engineers to upgrade systems.<br><br><b>Interview Steps:</b><br>The interview process will consist of technical interviews, manager interviews, and client interviews (2-3 steps). The client's interview will require 2-3 rounds involving coding, debugging, and DevOps experience.<br><br><b>Overlap time requirements: Up to 10-11 am PST</b><br><br><b>Technology Stack:</b><br>🔸 Backend Engineers with software engineering experience.<br>🔸 Knowledge of in-production distributed systems.<br>🔸 Experience in developing in Python/Go.<br>🔸 System-level debugging.<br><br><b>Nice to have:</b><br>🔸 Experience in developing large-scale distributed systems.<br>🔸 DevOps experience.<br>🔸 Debugging large-scale services on Linux, including logging and metrics analysis, and the ability to write SQL queries.<br>🔸 Experience in document, image, and video conversions.<br>🔸 Experience in a Windows development environment.<br>🔸 Knowledge of virtualization, containerization internals, and file system internals.<br>🔸 Experience with building platforms.<br><br><b>Working Conditions and Benefits:</b><br>🔸 Paid vacation and sick leave (without requiring a sickness list).<br>🔸 Health insurance.<br>🔸 Official state holidays – 11 days considered public holidays.<br>🔸 Opportunities for professional growth through challenging projects and the possibility to switch roles, master new technologies, and improve skills with company support.<br>🔸 Flexible working schedule: 8 hours per day, 40 hours per week, with 2-3 hours of overlap with PST.<br>🔸 Personal Career Development Plan (CDP).<br>🔸 Employee support program (Discounts, Care, Health, Legal compensation).<br>🔸 Paid external training, conferences, and professional certification aligned with the company's business goals.<br>🔸 Internal workshops and seminars.<br>🔸 Corporate library (paper and e-books) and internal English classes."
Middle/Senior Python developer,We are currently seeking a developer for a long-term collaboration from Ukraine and Europe. Our company is engaged in various projects that require skilled and dedicated individuals to contribute their expertise.<br><br>Responsibilities:<br>- Development of the important platform’s components.<br>- Participation in planning and estimation sessions.<br>- Building solutions from scratch.<br>- Transformation of the requirements to a set of unit tests.<br>- Code review.<br><br>Requirements:<br>-Python - experience: 4+ years<br>-Knowledge of JavaScript would be a plus <br>- English: Intermediate and higher<br>- Excellent communication skills<br><br><br>We offer:<br>- Short hiring process (2 interviews)<br>- Long term contract<br>- freelance projects
Senior Python Developer (short-term project),"Our customer is developing a complex system for the security and monitoring of the mining industry with extensive usage of AI and sensors placed on various equipment. They offer comprehensive hardware with 24/7 coverage and monitoring, with high requirements for the security and stability of the system. The system enhances productivity by optimizing maintenance strategies, streamlining mining operations with full site coverage, and significantly improving work safety.<br><br>Currently, the client needs a person who'll cover building a real-time video analytics product. <b>This is a short-term cooperation that will take approximately 1-1.5 mos</b>.<br><br>Requirements: <br>- Proficiency in Python (over 5 years)<br>- Strong understanding of Python programming language.<br>- Ability to write clean, efficient, and maintainable code.<br>- Strong testing skills, with a preference for experience using <b>pytest</b>.<br>- Knowledge of testing methodologies and best practices.<br>- Rest API architecture and design <br>- Experience with MongoDB <br>- Experience with FastAPI <br>- Working with multiprocessing and real-time system<br>- Independent in Terms of Creating Tasks and Working with Jira<br>- Great Communication Skills and Team Player<br><br>It'd be another advantage once you have experience in video analytics pipelines (GPU, triton)"
Title,Description
"Senior FullStack Developer (Python + JavaScript), Financial Software Tools","<b>Client</b><br>Our client US-based world-leading financial analytics, data services, and trading platform company. The client is renowned for their cutting-edge fintech solutions. You will work inside of the client's Agile ecosystem with one of the multinational Scrum teams.<br><br><b>Position Overview</b><br><br><br><b>Technology Stack</b><br>Python, React, PostgreSQL<br><br><b>Requirements</b><br>- 4+ years of full-stack experience primarily with Python and JavaScript (React) or (Angular)<br>- Experience with PostgreSQL<br>- Experience working with Restful API development<br>- Experience in building architecture for an application, microservices architecture<br>- Knowledge of related technologies: HTML5, CSS<br>- Understanding SDLC development methodologies<br>- Knowledge of code testing methods (including BDD, and TDD)<br>- Experience in collecting and documenting technical requirements, creating products based on these requirements<br>- Strong team player in a flat-structured, highly collaborative, Agile environment<br>- Algorithm tasks solving experience<br>- Working proficiency and communication skills in verbal and written English<br><br><b>Nice to have</b><br>- Experience using modern technologies for building and testing pipelines<br>- Knowledge of testing tools and frameworks"
Full Stack React (20%) + Python (80%),"Key Responsibilities:<br><br>Backend Development: Design, develop, and maintain high-performance backend systems and APIs using the latest technologies and best practices.<br>Infrastructure as Code (IaC): Implement Infrastructure as Code principles to automate the provisioning and management of infrastructure resources, ensuring scalability and reliability.<br>Cloud Services: Utilize cloud platforms (e.g., AWS, GCP) to build and deploy infrastructure components, including serverless functions, containers, and databases.<br>Performance Optimization: Continuously monitor and optimize backend systems for performance, scalability, and efficiency, identifying and resolving bottlenecks.<br>Security: Implement security best practices to safeguard data and systems, including encryption, access controls, and vulnerability assessments.<br>Database Management: Design and manage databases to store and retrieve data efficiently, considering data modeling, indexing, and query optimization.<br>Qualifications:<br><br>Bachelor's degree in Computer Science, Software Engineering, or a related field (Master's preferred).<br>3+ years of strong technical background with expertise in relevant programming languages and technologies: React (20%) work and Python 80%<br>Proven experience in backend development, infrastructure design, and management.<br>Strong knowledge of cloud computing platforms and infrastructure automation tools.<br>Experience with containerization and orchestration technologies (e.g., Docker, Kubernetes).<br>Solid understanding of database systems (SQL and NoSQL) and data modeling.<br>Strong problem-solving skills and the ability to work in a collaborative, cross-functional team environment.<br>Excellent communication skills to convey complex technical concepts to non-technical stakeholders."
Python Integration Engineer,"What qualifications and background are we looking for?<br><br>A Bachelor of Science degree in Computer Science, Software Engineering, or equivalent practical experience is a must!<br>Proficiency in the Python ecosystem with at least 2.5 to 3.5 years of experience.<br>Prior experience working with REST/GQL APIs.<br>Familiarity with development in distributed systems, including knowledge of K8S, Docker, and containers.<br>Having worked as an integration engineer, extracting data from APIs, is a definite advantage.<br>A strong candidate is someone who is responsible, thorough, proactive, and collaborative.<br>It would be highly beneficial if you also possess:<br><br>Previous experience in startup environments.<br>Experience at a company recognized for its engineering excellence.<br>Familiarity with modern CI/CD development practices and tools."
Python developer,"We are looking for current skills:<br>• +4 years of commercial experience with Python<br>• Experience with Django and Flask<br>• Experience with MySQL or PostgreSQL<br><br>That's what you should do:<br>- Work directly with the core development team<br>- Implement new and maintain existing web features and solutions<br>- Review existing code and recommend refactoring where applicable<br>- Research and solve problems using internet search, vendor support, and other external resources<br>- Perform all the necessary tasks efficiently meeting deadlines<br>- Fill in the tracking systems of the client and the company<br><br>Is good to have:<br>- Understanding of OOP concepts<br>- Understanding of coding algorithms such as recursion, data transformation, and manipulation<br>- Good English speaking<br>- Experience in SSR<br><br>That's what we offer to you:<br>- Fast growth of seniority level with a unique plan<br>- Ability to work remotely, flexible working hours<br>- Education (courses, training materials, etc.)<br>- 12 days of paid vacation and 12 days of sick leave<br>- State holidays, according to the legislation of Ukraine<br><br>So please don't waste your time, write to us and let's create some cool things together! :)"
Senior Full-Stack Developer Developer (Python + VueJs),"<b>Responsibilities</b><br>• Organize and execute Technical field trials;<br>• Provide Field trials support and interpret field trial results;<br>• Establish and maintain close working relations with key interfacing areas of the business, managing customer affecting issues to resolution where relevant;<br>• Work proactively with central and country stakeholders to ensure the smooth, successful and timely implementation of upgrades and/or new technology within the Entertainment platforms (pre-production and/or production);<br>• Communication towards internal customers on solution & timelines;<br>• Produce timely and accurate business reports and reviews and be compliant with all internal reporting requirements;<br>• Drive standardization of tools and processes around the CPE trials and mass rollout across the footprint;<br><br><b>Requirements</b><br>• 5+ years of overall development experience using Python;<br>• 3+ years of experience years working with JS and VueJs;<br>• Built in: create optimized Python code to manipulate dataset and apply the best data structure matching the requirements;<br>• Standard library;<br>• Iterators;<br>• Creation of generator to build and maintain ETL pipelines while keeping memory usage to the minimum;<br>• Context manager; <br>• Create, deploy and maintain async code to collect big dataset from external resources within a specific time constraints;<br>• Intermediate/Upper English level.<br><br>Frameworks:<br>• Flask;<br>• FastAPI:<br>• Functional programming;<br>• Good understanding of Event-driven architecture;<br>• Testing framework / Unit testing / Pytest;<br><br><b>Technology</b><br>• In depth knowledge of Git: Create branches, merge them, resolve conflicts, and all other related tasks w.r.t. having a shared code base;<br>• In depth knowledge or Nginx: Able to troubleshoot routing issue<br>• Good understanding of unix service management:<br>Creation, update of unit/timer files<br>Able to find running or failing services<br>• Service template creation;<br>• In depth knowledge of Influxdb: <br>Create Continuous queries to downsample dataset<br>Create optimized query for big datasets;<br>• Neo4j<br>• MySQL<br>• Redis<br>• Docker<br><br><b>About the project</b><br>The project will be taking 2+ years and the main goal is to update and deploy all new software on set top boxes for cable companies around Europe. Any video streaming through any portal will be processed through this project. Team size of teams are on average 6 people including PO. <br><br>The teams are distributed over Europe and Asia, and there is a core team working from the HQ in Amsterdam. In this case, we are looking for a Senior Full-Stack Developer.<br><br><br><b>What we offer</b><br>- Zero bureaucracy and flat management structure: CEO and Teams, that’s all;<br>- Competitive compensation;<br>- We are remote native (before, during, and after covid19);<br>- Friendly team and a nice environment;<br>- Regular team-building parties."
